FREQ,Frequency,ISSUER_RES,Issuer residence,ISSUER_NAT,Issuer nationality,ISSUER_BUS_IMM,Issuer sector - immediate borrower,ISSUER_BUS_ULT,Issuer sector - ultimate borrower,MARKET,Issue market,ISSUE_TYPE,Issue type,ISSUE_CUR_GROUP,Issue currency group,ISSUE_CUR,Issue currency,ISSUE_OR_MAT,Original maturity,ISSUE_RE_MAT,Remaining maturity,ISSUE_RATE,Rate type,ISSUE_RISK,Default risk (for future expansion),ISSUE_COL,Collateral type (for future expansion),MEASURE,Measure,COLLECTION,Collection Indicator,TIME_FORMAT,Time Format,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,AED,UAE Dirham,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:AED:A:A:A:A:A:I,1716,1568,1614,1517,966,926,677,540,507,542,624,285,277,1087,1063,1608,2152,2098,2093,2538,2538,2538,2538
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ARS,Argentine Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ARS:A:A:A:A:A:I,1110,1616,1612,2093,2097,1660,1217,1387,1328,1500,1151,968,726,621,479,427,325,324,330,305,304,210,169
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ATS,Austrian Schilling,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ATS:A:A:A:A:A:I,14,15,15,16,16,15,15,15,15,15,12,13,12,12,13,14,13,13,13,13,12,12,11
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,AUD,Australian Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:AUD:A:A:A:A:A:I,270005,271001,281978,285063,285404,272673,269114,257618,259623,257559,247028,258973,221123,252211,256212,278241,274639,271412,261332,269570,279708,256473,239382
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,BHD,Bahraini Dinar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:BHD:A:A:A:A:A:I,,,,,,,,,,,,,239,239,239,239,239,239,239,239,239,239,239
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,BRL,Brazilian Real,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:BRL:A:A:A:A:A:I,34569,31128,30956,27571,26928,22710,22392,23958,24828,24717,21963,20022,15238,13888,13079,14093,14175,16293,18046,17232,22018,20240,20251
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,BYR,Belarusian Ruble,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:BYR:A:A:A:A:A:I,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CAD,Canadian Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CAD:A:A:A:A:A:I,130717,135289,140630,140219,140127,135174,141502,124259,127964,130387,134275,137363,120849,130131,132165,132586,140522,143736,142437,142900,150973,145776,134511
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CHF,Swiss Franc,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CHF:A:A:A:A:A:I,218563,224269,214915,209466,210899,202165,201188,191318,187549,191313,185064,189472,189757,196577,198852,203084,189764,195837,192889,198159,194459,188985,185002
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CLP,Chilean Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CLP:A:A:A:A:A:I,1839,1862,1940,1823,1695,1578,1537,1449,1585,1568,1470,1412,1231,1289,465,527,512,531,2356,3476,3831,3255,3207
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CNY,Renminbi,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CNY:A:A:A:A:A:I,108344,102936,103057,102260,109046,106591,105451,108293,108409,106033,101168,98055,102463,105488,111474,112865,115736,119810,120159,123462,124150,140558,152144
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,COP,Colombian Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:COP:A:A:A:A:A:I,5719,5666,5704,7314,7349,7136,7193,6772,7087,7202,7207,7829,6348,6912,6826,7740,6593,6544,6510,6225,6789,6357,5820
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CZK,Czech Koruna,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CZK:A:A:A:A:A:I,7405,8066,8295,8388,8319,7482,7250,7330,7302,7422,7190,7494,7021,7399,7993,8657,8436,8742,8735,9046,9229,8529,8513
