FREQ,Frequency,L_MEASURE,Measure,L_REP_CTY,Reporting country,CBS_BANK_TYPE,CBS bank type,CBS_BASIS,CBS reporting basis,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,REM_MATURITY,Remaining maturity,CURR_TYPE_BOOK,Currency type of booking location,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,COLLECTION,Collection Indicator,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,3P,All countries excluding residents,,,Q:S:5A:4R:U:B:A:A:TO1:A:3P,11945783.993,12337240.711,12768142.222,12661277.351,13095964.914,12733371.153,12737274.271,12538981.512,12798771.232,12934693.060,12780385.022,12855013.377,13716523.620,13710663.907,14047885.425,14511755.983,14854349.723,15086923.793,15061651.802,14819804.033,15461034.849,14927157.640,14461145.350
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,AT,Austria,,,Q:S:5A:4R:U:B:A:A:TO1:A:AT,81870.074,86867.378,91144.112,94670.890,88209.035,83998.041,85385.412,87557.478,85164.328,85691.504,82643.467,88236.465,86268.300,102875.165,110387.454,120979.510,112931.306,115159.598,114548.827,110785.292,108113.759,99777.299,90582.074
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,AU,Australia,,,Q:S:5A:4R:U:B:A:A:TO1:A:AU,232218.618,240100.472,247172.078,251322.824,250600.462,246522.273,253761.473,256372.287,270612.969,275324.271,269537.872,286465.887,294324.671,322583.262,319171.158,342501.427,356018.884,365030.879,348774.203,362139.397,378101.957,335306.609,327859.153
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,BE,Belgium,,,Q:S:5A:4R:U:B:A:A:TO1:A:BE,277947.260,302629.514,310498.899,300513.779,333175.256,323485.602,328530.018,299353.140,317066.838,312652.021,303462.742,287065.655,320221.350,345261.698,379381.697,400011.780,400577.943,406625.316,394345.365,372636.440,385709.109,356231.011,329410.548
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,BR,Brazil,,,Q:S:5A:4R:U:B:A:A:TO1:A:BR,215636.053,214282.218,229617.513,215326.121,224470.614,205621.612,203860.556,216916.749,219354.939,218397.650,217649.723,225350.743,196822.431,192015.484,201519.397,219649.947,215074.349,230855.426,223216.901,218877.482,254714.418,228185.510,227901.471
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CA,Canada,,,Q:S:5A:4R:U:B:A:A:TO1:A:CA,153906.195,155245.501,160330.053,159627.575,158328.836,159862.153,165941.231,159125.624,161420.641,173186.385,175029.648,178954.350,185414.425,188081.843,193473.368,194720.085,200426.744,198062.126,209658.119,204791.606,212168.793,210110.969,204011.271
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CH,Switzerland,,,Q:S:5A:4R:U:B:A:A:TO1:A:CH,123080.482,133430.176,119234.433,123206.979,114047.431,105140.655,121727.922,124813.183,125504.988,123795.978,137298.856,136079.339,132932.205,141330.482,164339.591,181119.607,171803.792,172031.484,156051.315,171600.978,150315.863,121694.763,121102.994
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CN,China,,,Q:S:5A:4R:U:B:A:A:TO1:A:CN,283620.207,307637.114,319232.299,342504.019,346906.263,337182.421,321007.893,327931.486,327289.076,329617.468,318847.404,345866.135,343952.701,340090.398,350221.777,387477.469,384004.140,395469.556,394010.974,405694.535,401404.546,373532.017,357449.003
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,DE,Germany,,,Q:S:5A:4R:U:B:A:A:TO1:A:DE,629447.992,661600.693,685013.283,699940.248,722972.713,692238.486,698323.433,659977.321,666405.289,685052.021,639269.465,640094.370,706688.796,764845.729,831017.701,931867.947,940630.870,965365.321,923707.848,876020.817,955247.795,934301.572,914012.242
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,ES,Spain,,,Q:S:5A:4R:U:B:A:A:TO1:A:ES,90361.017,98323.182,102055.695,107371.430,110155.597,105977.688,104351.557,106867.440,105361.292,112187.365,106549.983,107209.270,107121.407,109471.227,113476.003,119860.354,112274.700,114412.886,110996.292,110058.974,108343.507,102989.576,93169.585
