FREQ,Frequency,L_MEASURE,Measure,L_REP_CTY,Reporting country,CBS_BANK_TYPE,CBS bank type,CBS_BASIS,CBS reporting basis,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,REM_MATURITY,Remaining maturity,CURR_TYPE_BOOK,Currency type of booking location,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,COLLECTION,Collection Indicator,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,3P,All countries excluding residents,,,Q:S:5A:4O:F:I:A:A:TO1:A:3P,16075615.768,16483451.470,16889014.987,16886459.022,18037578.883,17528071.213,17641230.532,17395051.463,18431722.537,18800002.482,18762442.341,18494965.058,19502731.309,19221834.650,19553363.004,20120776.387,20483483.222,20436011.971,20461765.579,20104061.039,20598547.898,19583555.669,19150511.343
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,AT,Austria,,,Q:S:5A:4O:F:I:A:A:TO1:A:AT,147285.734,150827.085,149561.293,141624.758,158086.276,139867.805,140462.361,130947.242,131650.235,131969.226,129333.299,130751.625,137194.680,135362.011,138515.974,140962.763,141533.095,144299.932,142017.422,130283.894,135311.265,132305.742,127104.143
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,AU,Australia,,,Q:S:5A:4O:F:I:A:A:TO1:A:AU,271914.354,277621.414,281800.430,278354.563,288585.170,272700.589,281982.622,275236.574,287671.100,286717.199,287553.386,289235.578,283952.692,294163.375,295654.155,322347.902,313610.608,304943.723,295966.770,298368.687,324089.702,305841.493,293376.262
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,BE,Belgium,,,Q:S:5A:4O:F:I:A:A:TO1:A:BE,222244.899,229492.655,218662.032,217296.866,237631.934,225409.983,224054.884,197450.501,214772.620,222229.024,218296.355,197430.842,235398.350,221811.349,220146.275,217939.994,235123.743,247050.319,235747.305,214980.533,235555.392,231202.672,210892.482
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,BR,Brazil,,,Q:S:5A:4O:F:I:A:A:TO1:A:BR,135569.015,127594.813,134418.415,128017.920,148930.357,123437.693,124009.320,130987.081,140802.898,152129.301,149077.973,155979.747,133856.340,129344.386,127054.802,141066.047,138045.541,140524.688,131417.041,144742.943,150423.939,146324.326,166334.838
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CA,Canada,,,Q:S:5A:4O:F:I:A:A:TO1:A:CA,278815.676,289222.884,297553.666,313154.903,322896.224,314249.159,318708.616,320408.194,321832.444,328764.172,327473.031,333138.328,362635.650,361722.136,354755.293,394038.312,402724.286,419962.386,414088.167,431174.764,449193.704,444394.986,434721.558
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CH,Switzerland,,,Q:S:5A:4O:F:I:A:A:TO1:A:CH,278890.039,284771.738,305049.848,309457.674,319192.089,299425.201,309270.255,285964.980,292105.741,306991.256,314990.991,287103.426,314206.274,280555.088,284245.739,299519.655,304760.966,302155.894,308220.272,351336.534,335448.655,326330.659,334487.566
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CN,China,,,Q:S:5A:4O:F:I:A:A:TO1:A:CN,858135.904,946491.565,963332.671,958363.040,989226.408,951108.432,967788.748,961783.499,921720.995,944388.432,905546.521,908265.458,908609.234,919346.070,957865.435,968509.306,1014853.783,1015254.008,987514.927,1006694.962,920870.624,884605.243,822399.768
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,DE,Germany,,,Q:S:5A:4O:F:I:A:A:TO1:A:DE,731997.968,739366.283,761735.441,761111.859,834539.412,843662.765,790207.708,722924.102,787043.229,807117.596,795042.920,754747.742,823209.693,879563.641,906882.691,861306.665,915480.522,915597.637,906776.862,858411.142,927418.326,865525.522,812574.811
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,ES,Spain,,,Q:S:5A:4O:F:I:A:A:TO1:A:ES,288081.067,299070.497,308972.191,302790.738,349828.526,321054.759,321189.158,312605.754,329744.867,345457.119,347835.600,363274.428,370281.743,396284.555,410581.047,396497.339,393727.730,407226.490,396911.553,386442.421,382765.242,364183.973,358231.954
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GB,United Kingdom,,,Q:S:5A:4O:F:I:A:A:TO1:A:GB,1373639.661,1350478.691,1438017.421,1341246.562,1589946.775,1516274.313,1504985.867,1417466.687,1605255.446,1646828.425,1596489.838,1483076.580,1630376.510,1575190.916,1599744.950,1642591.420,1592854.515,1585812.080,1537220.188,1475821.026,1529039.562,1448196.269,1396179.419
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GR,Greece,,,Q:S:5A:4O:F:I:A:A:TO1:A:GR,49445.864,48408.746,46555.147,46178.648,50988.776,50932.635,51623.302,51841.386,50237.493,49446.162,47360.245,47237.009,46060.389,36992.153,36788.306,39163.024,37744.356,38939.394,37860.299,36113.019,35798.026,35385.047,32837.696
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IN,India,,,Q:S:5A:4O:F:I:A:A:TO1:A:IN,151422.560,158853.435,164631.507,172312.701,169623.054,159176.685,154004.001,150267.345,158951.251,155723.206,149421.214,147991.074,137965.100,131395.873,128294.147,132161.718,133909.710,135993.072,136955.915,143632.940,141436.697,127774.339,128543.117
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IT,Italy,,,Q:S:5A:4O:F:I:A:A:TO1:A:IT,289596.730,301622.637,313120.792,309234.923,442647.488,452931.860,451960.908,456387.250,490444.033,503273.131,478886.579,463073.296,473476.796,483728.282,475833.707,494581.658,498123.307,513127.807,514349.459,473278.544,513224.644,494380.838,443719.931
