FREQ,Frequency,REF_AREA,Reference area,VALUE,Value,UNIT_MEASURE,Unit of measure,BREAKS,COVERAGE,TITLE_TS,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,4T,Emerging market economies (aggregate),N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:4T:N:771,5.9235,5.8235,5.2321,4.5807,4.5732,4.3005,5.1667,5.6384,5.6255,5.3426,4.8521,4.4578,4.6355,4.3874,4.1915,4.6585,4.982,5.5903,6.0119,6.6673,8.15,8.524,8.4042
Q,Quarterly,4T,Emerging market economies (aggregate),R,Real,771,"Year-on-year changes, in per cent",,,,Q:4T:R:771,2.8192,2.9701,2.4129,1.4524,1.5356,1.2419,1.6524,2.2252,2.5618,1.7937,1.4881,0.4609,0.0842,1.1781,1.0343,2.2159,2.4702,1.8513,2.2584,1.7027,1.599,-0.1814,-0.7212
Q,Quarterly,5R,Advanced economies,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:5R:N:771,5.4641,5.2897,5.2928,5.1767,4.9141,4.5722,4.2288,3.8755,3.172,3.0636,3.072,3.6159,4.2196,4.1661,5.2999,6.9932,8.5309,11.4427,13.046,13.1383,14.4235,12.6695,9.0165
Q,Quarterly,5R,Advanced economies,R,Real,771,"Year-on-year changes, in per cent",,,,Q:5R:R:771,3.4679,3.6085,3.5679,3.3921,3.0719,2.4479,1.9356,1.9053,1.7165,1.4668,1.7196,2.1274,2.6246,3.8881,4.6895,6.5332,7.2051,8.2675,9.1406,7.7595,7.7146,4.7005,0.8921
Q,Quarterly,AE,United Arab Emirates,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:AE:N:771,-1.4054,-0.9989,-2.4876,-3.8246,-5.4153,-7.0589,-7.9724,-8.9024,-7.3284,-9.2561,-7.4725,-6.0524,-7.6449,-7.0906,-7.6333,-6.4362,-3.4764,2.136,7.8032,9.7958,11.9713,11.0518,8.998
Q,Quarterly,AE,United Arab Emirates,R,Real,771,"Year-on-year changes, in per cent",,,,Q:AE:R:771,-3.9413,-2.9566,-3.489,-5.8814,-9.2177,-10.1528,-11.1496,-9.8928,-4.9849,-7.8156,-5.452,-4.5671,-6.3215,-4.8947,-5.3912,-4.3062,-1.8567,2.6272,7.1912,7.3148,7.8137,3.9866,0.9409
Q,Quarterly,AT,Austria,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:AT:N:771,2.2917,3.6324,4.5556,4.7014,7.3224,4.9389,7.9702,7.3957,4.9389,5.5668,2.2638,3.0497,3.3964,5.2253,9.4803,9.9761,12.3416,11.754,10.4176,12.5434,12.3643,13.1268,10.7882
Q,Quarterly,AT,Austria,R,Real,771,"Year-on-year changes, in per cent",,,,Q:AT:R:771,0.3051,1.6709,2.3941,2.4134,5.3873,2.9188,5.7108,5.2061,3.1506,3.8181,0.8795,1.7019,1.4599,4.0991,7.8381,8.5923,10.8586,9.0194,7.0629,8.1391,6.1627,4.8801,0.9063
Q,Quarterly,AU,Australia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:AU:N:771,10.1994,10.1504,8.2963,4.9787,2.0181,-0.6143,-1.9152,-5.1491,-7.367,-7.4176,-3.696,2.5,7.3638,6.2315,4.4895,3.6237,7.476,16.7598,21.6909,23.6718,20.6383,14.146,5.2321
Q,Quarterly,AU,Australia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:AU:R:771,7.9056,8.0608,6.352,3.0121,0.1154,-2.6372,-3.73,-6.8116,-8.5848,-8.8692,-5.2816,0.6476,5.0618,6.6029,3.7701,2.7395,6.2909,12.4353,18.1327,19.4917,14.7962,7.5381,-1.8981
Q,Quarterly,BE,Belgium,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:BE:N:771,4.4252,2.8698,3.7101,3.5501,2.5331,3.8789,2.5421,2.5179,3.5943,3.0166,4.5344,4.7761,3.5413,4.4907,3.1563,5.7261,6.927,7.4077,8.1926,6.0378,6.4621,5.9343,5.3856
Q,Quarterly,BE,Belgium,R,Real,771,"Year-on-year changes, in per cent",,,,Q:BE:R:771,1.7469,0.9393,1.7804,1.4511,0.9918,2.0353,0.282,-0.1002,1.4018,1.0964,3.3332,4.2118,2.4742,3.9213,2.3191,5.1406,6.3579,5.8831,5.4304,0.8275,-1.406,-2.791,-4.4386
Q,Quarterly,BG,Bulgaria,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:BG:N:771,8.9767,8.5937,8.9679,8.1524,7.0921,7.5063,6.266,5.5384,7.2938,5.023,5.5845,6.2148,4.7046,2.9249,5.183,5.4035,7.5107,9.0699,8.7097,9.3818,11.529,14.6003,15.5931
Q,Quarterly,BG,Bulgaria,R,Real,771,"Year-on-year changes, in per cent",,,,Q:BG:R:771,7.2041,6.1846,7.2695,5.2652,4.9838,4.8004,2.6527,2.3217,3.882,1.6274,2.7886,3.0461,1.0577,1.3453,4.0052,4.9599,7.5141,6.5486,4.7092,2.1897,0.8889,-0.8731,-1.9522
Q,Quarterly,BR,Brazil,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:BR:N:771,-2.6078,-2.2379,-1.7279,-1.1144,-0.4466,0.2126,0.8426,1.4649,2.1376,2.9496,3.9269,5.0182,6.1883,7.351,8.3996,9.155,9.3681,8.9337,7.867,6.3402,4.5996,2.9152,1.5226
Q,Quarterly,BR,Brazil,R,Real,771,"Year-on-year changes, in per cent",,,,Q:BR:R:771,-7.1507,-5.5962,-4.1884,-3.8243,-3.1519,-3.0225,-3.4083,-2.5455,-1.8674,-1.3108,0.7229,1.5926,2.2699,5.1059,5.6255,4.7045,3.8778,1.1267,-1.6189,-3.7543,-5.5479,-8.0423,-6.5558
Q,Quarterly,CA,Canada,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CA:N:771,17.6452,16.6356,14.671,13.7932,7.4423,2.9762,1.8609,1.7682,0.5854,0.1927,0.1923,1.6409,4.2677,5.6731,6.9098,8.3571,8.7442,13.4668,14.3627,13.9351,25.3272,15.5787,3.174
Q,Quarterly,CA,Canada,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CA:R:771,15.438,15.1154,13.1194,11.7953,5.2778,0.661,-0.7983,-0.2621,-1.01,-1.9146,-1.7138,-0.4445,2.4148,5.6472,6.6237,7.5167,7.2045,9.7893,9.8983,8.7934,18.4214,7.4683,-3.7133
Q,Quarterly,CH,Switzerland,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CH:N:771,-1.9194,0.2725,1.6215,3.6659,3.1165,2.8178,2.8438,2.5864,3.459,3.5904,2.7605,2.2069,2.5282,2.5933,4.0854,5.2519,5.6995,6.5312,7.4009,7.5089,8.1113,8.035,6.9367
Q,Quarterly,CH,Switzerland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CH:R:771,-2.4279,-0.0985,1.1347,2.8818,2.3781,1.8169,1.6911,1.6645,2.8186,2.924,2.4947,2.2852,2.6577,3.8614,4.9904,5.9828,6.1571,6.007,6.5123,5.9879,5.9265,4.9302,3.4411
Q,Quarterly,CL,Chile,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CL:N:771,6.0422,8.1249,8.752,9.6744,8.6332,9.8279,11.7456,9.7643,9.4887,7.3824,7.6877,7.948,9.0817,9.4516,3.7979,4.5766,8.1701,10.0303,14.7058,15.6481,8.3575,8.1771,
Q,Quarterly,CL,Chile,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CL:R:771,3.1998,5.693,6.969,7.5038,6.3465,7.3912,8.7365,7.0403,7.5109,5.0549,5.3637,5.0607,5.191,6.3335,1.0906,1.6451,5.0715,6.215,9.361,8.4549,0.0449,-2.9963,
Q,Quarterly,CN,China,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CN:N:771,8.148,8.0474,6.8338,4.9908,4.357,3.8279,5.7805,7.2033,7.5963,7.4021,5.2704,3.7813,2.9911,2.2618,2.2134,2.3067,3.0351,3.669,3.0678,1.6141,-0.1523,-2.1837,-3.2836
