FREQ,Frequency,BORROWERS_CTY,Borrowers' country,TC_BORROWERS,Borrowing sector,TC_LENDERS,Lending sector,VALUATION,Valuation method,UNIT_TYPE,Unit type,TC_ADJUST,Adjustment,UNIT_MULT,Unit Multiplier,UNIT_MEASURE,Unit of measure,TITLE_TS,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2
Q,Quarterly,4T,Emerging market economies (aggregate),C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Emerging market economies (aggregate) - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:4T:C:A:M:770:A,193,195.6,197.9,200.3,202.1,189.8,185.5,188.9,198.7,200.8,196.5,203.2,203.4,218.3,230.7,243.2,239.2,234.7,228.2,227,229.7,222.6
Q,Quarterly,4T,Emerging market economies (aggregate),G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Emerging market economies (aggregate) - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:4T:G:A:N:770:A,48.7,49.6,50.4,50.9,51.6,48.5,47.7,49.2,51.6,52.7,51.9,53.9,53.4,58.3,62.5,67.6,66.5,66.1,64.9,65.2,66.4,64.4
Q,Quarterly,4T,Emerging market economies (aggregate),H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Emerging market economies (aggregate) - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:4T:H:A:M:770:A,39.3,40.3,41.2,42.2,42.8,40.6,40.4,41.7,43.5,44.3,43.7,45.7,44.7,47.8,50.9,54.2,53.2,52.2,50.9,50.9,50.7,48.5
Q,Quarterly,4T,Emerging market economies (aggregate),N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Emerging market economies (aggregate) - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:4T:N:A:M:770:A,104.7,105.5,106.1,106.9,107.6,100.6,97.2,97.9,103.4,103.6,100.7,103.4,105.2,111.9,117,121.2,119.3,116.2,112.4,110.9,112.6,109.9
Q,Quarterly,4T,Emerging market economies (aggregate),P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Emerging market economies (aggregate) - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:4T:P:A:M:770:A,144,145.8,147.3,149.1,150.4,141.2,137.7,139.6,147,147.9,144.4,149.1,149.9,159.7,168,175.4,172.5,168.4,163.3,161.8,163.3,158.4
Q,Quarterly,5A,All reporting economies,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,All reporting countries (aggregate) - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5A:C:A:M:770:A,240.4,245.4,247.5,247.4,247.9,236.1,233,235.1,240.4,244.3,242,246.4,248,269,279.9,290.8,281,273.9,266.1,263.4,259.6,247.7
Q,Quarterly,5A,All reporting economies,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,All reporting countries (aggregate) - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5A:G:A:M:770:A,85.1,86.5,87.1,86.6,87,82.4,81.1,82.7,84.6,86.5,86.8,87.6,89.2,100.1,104.8,109.3,104.1,101.7,98.5,97.6,94.5,88
Q,Quarterly,5A,All reporting economies,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,All reporting countries (aggregate) - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:5A:G:A:N:770:A,80.4,81.7,82.4,82,82.8,78.8,78.1,79.2,80.2,81.1,80.6,82.3,82.4,92.6,97,101.4,98.6,96.2,93.3,92.8,92.5,88.9
Q,Quarterly,5A,All reporting economies,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,All reporting countries (aggregate) - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5A:H:A:M:770:A,60.7,62.2,62.9,63,62.7,60.1,59.9,60.3,61.1,62,61.1,62.8,61.5,64.8,67.6,70.6,68.8,67.2,65.6,65.1,64.4,62.2
Q,Quarterly,5A,All reporting economies,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,All reporting countries (aggregate) - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5A:N:A:M:770:A,94.6,96.7,97.5,97.8,98.2,93.6,92,92.1,94.7,95.8,94.1,96,97.2,104.1,107.5,110.8,108.1,105,102,100.7,100.8,97.5
