Borrowers' country,Borrowing sector,Lending sector,Credit gap data type,Series,Quaterlly_per_year,Financial_Stability_Statistics
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2017-Q1,142.9
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2017-Q1,150.5
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2017-Q1,-7.7
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2017-Q1,197.2
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2017-Q1,201.9
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2017-Q1,-4.7
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2017-Q1,222.6
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2017-Q1,224.1
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2017-Q1,-1.5
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2017-Q1,214.5
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2017-Q1,202.5
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2017-Q1,12.1
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2017-Q1,118.7
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2017-Q1,124.9
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2017-Q1,-6.2
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2017-Q1,239.9
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2017-Q1,267.0
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2017-Q1,-27.1
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2017-Q1,168.2
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2017-Q1,219.6
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2017-Q1,-51.4
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2017-Q1,181.3
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2017-Q1,184.3
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2017-Q1,-3.0
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2017-Q1,200.5
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2017-Q1,193.5
France,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FR:P:A:C,2017-Q1,7.0
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GB:P:A:A,2017-Q1,162.0
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GB:P:A:B,2017-Q1,178.7
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GB:P:A:C,2017-Q1,-16.6
Greece,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GR:P:A:A,2017-Q1,125.8
Greece,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GR:P:A:B,2017-Q1,143.5
Greece,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GR:P:A:C,2017-Q1,-17.7
Ireland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IE:P:A:A,2017-Q1,301.2
Ireland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IE:P:A:B,2017-Q1,348.2
Ireland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IE:P:A:C,2017-Q1,-47.0
Italy,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IT:P:A:A,2017-Q1,114.7
Italy,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IT:P:A:B,2017-Q1,131.7
Italy,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IT:P:A:C,2017-Q1,-16.9
Japan,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:JP:P:A:A,2017-Q1,156.3
Japan,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:JP:P:A:B,2017-Q1,150.9
Japan,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:JP:P:A:C,2017-Q1,5.4
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:LU:P:A:A,2017-Q1,374.3
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:LU:P:A:B,2017-Q1,414.2
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:LU:P:A:C,2017-Q1,-39.9
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NL:P:A:A,2017-Q1,284.5
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NL:P:A:B,2017-Q1,293.2
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NL:P:A:C,2017-Q1,-8.8
Norway,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NO:P:A:A,2017-Q1,250.5
Norway,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NO:P:A:B,2017-Q1,243.9
Norway,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NO:P:A:C,2017-Q1,6.6
Portugal,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:PT:P:A:A,2017-Q1,183.5
Portugal,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:PT:P:A:B,2017-Q1,227.4
Portugal,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:PT:P:A:C,2017-Q1,-43.9
Sweden,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:SE:P:A:A,2017-Q1,240.7
Sweden,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:SE:P:A:B,2017-Q1,244.4
Sweden,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:SE:P:A:C,2017-Q1,-3.7
United States,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:US:P:A:A,2017-Q1,151.0
United States,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:US:P:A:B,2017-Q1,159.8
United States,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:US:P:A:C,2017-Q1,-8.8
Euro area,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:XM:P:A:A,2017-Q1,167.2
Euro area,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:XM:P:A:B,2017-Q1,176.1
Euro area,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:XM:P:A:C,2017-Q1,-9.0
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2017-Q2,141.8
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2017-Q2,150.4
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2017-Q2,-8.6
