Frequency,BORROWERS_CTY,Borrowers' country,Borrowing sector,Lending sector,VALUATION,Valuation method,Quaterlly_per_year,Total_Credit__all_Sec
Quarterly,4T,Emerging market economies (aggregate),Non financial sector,All sectors,M,Market value,2017-Q1,193.0
Quarterly,4T,Emerging market economies (aggregate),General government,All sectors,N,Nominal value,2017-Q1,48.7
Quarterly,4T,Emerging market economies (aggregate),Households & NPISHs,All sectors,M,Market value,2017-Q1,39.3
Quarterly,4T,Emerging market economies (aggregate),Non-financial corporations,All sectors,M,Market value,2017-Q1,104.7
Quarterly,4T,Emerging market economies (aggregate),Private non-financial sector,All sectors,M,Market value,2017-Q1,144.0
Quarterly,5A,All reporting economies,Non financial sector,All sectors,M,Market value,2017-Q1,240.4
Quarterly,5A,All reporting economies,General government,All sectors,M,Market value,2017-Q1,85.1
Quarterly,5A,All reporting economies,General government,All sectors,N,Nominal value,2017-Q1,80.4
Quarterly,5A,All reporting economies,Households & NPISHs,All sectors,M,Market value,2017-Q1,60.7
Quarterly,5A,All reporting economies,Non-financial corporations,All sectors,M,Market value,2017-Q1,94.6
Quarterly,5A,All reporting economies,Private non-financial sector,All sectors,M,Market value,2017-Q1,155.3
Quarterly,5R,Advanced economies,Non financial sector,All sectors,M,Market value,2017-Q1,268.9
Quarterly,5R,Advanced economies,General government,All sectors,M,Market value,2017-Q1,106.7
Quarterly,5R,Advanced economies,General government,All sectors,N,Nominal value,2017-Q1,99.5
Quarterly,5R,Advanced economies,Households & NPISHs,All sectors,M,Market value,2017-Q1,73.5
Quarterly,5R,Advanced economies,Non-financial corporations,All sectors,M,Market value,2017-Q1,88.6
Quarterly,5R,Advanced economies,Private non-financial sector,All sectors,M,Market value,2017-Q1,162.1
Quarterly,AR,Argentina,Non financial sector,All sectors,M,Market value,2017-Q1,72.5
Quarterly,AR,Argentina,General government,All sectors,N,Nominal value,2017-Q1,52.1
Quarterly,AR,Argentina,Households & NPISHs,All sectors,M,Market value,2017-Q1,6.0
Quarterly,AR,Argentina,Non-financial corporations,All sectors,M,Market value,2017-Q1,14.2
Quarterly,AR,Argentina,Private non-financial sector,All sectors,M,Market value,2017-Q1,20.4
Quarterly,AT,Austria,Non financial sector,All sectors,M,Market value,2017-Q1,235.9
Quarterly,AT,Austria,General government,All sectors,M,Market value,2017-Q1,93.0
Quarterly,AT,Austria,General government,All sectors,N,Nominal value,2017-Q1,81.4
Quarterly,AT,Austria,Households & NPISHs,All sectors,M,Market value,2017-Q1,50.1
Quarterly,AT,Austria,Non-financial corporations,All sectors,M,Market value,2017-Q1,92.8
Quarterly,AT,Austria,Private non-financial sector,All sectors,M,Market value,2017-Q1,142.9
Quarterly,AU,Australia,Non financial sector,All sectors,M,Market value,2017-Q1,237.6
Quarterly,AU,Australia,General government,All sectors,M,Market value,2017-Q1,40.5
Quarterly,AU,Australia,General government,All sectors,N,Nominal value,2017-Q1,37.1
Quarterly,AU,Australia,Households & NPISHs,All sectors,M,Market value,2017-Q1,122.7
Quarterly,AU,Australia,Non-financial corporations,All sectors,M,Market value,2017-Q1,74.5
Quarterly,AU,Australia,Private non-financial sector,All sectors,M,Market value,2017-Q1,197.2
Quarterly,BE,Belgium,Non financial sector,All sectors,M,Market value,2017-Q1,345.2
Quarterly,BE,Belgium,General government,All sectors,M,Market value,2017-Q1,122.6
Quarterly,BE,Belgium,General government,All sectors,N,Nominal value,2017-Q1,106.2
Quarterly,BE,Belgium,Households & NPISHs,All sectors,M,Market value,2017-Q1,58.7
Quarterly,BE,Belgium,Non-financial corporations,All sectors,M,Market value,2017-Q1,163.9
Quarterly,BE,Belgium,Private non-financial sector,All sectors,M,Market value,2017-Q1,222.6
Quarterly,BR,Brazil,Non financial sector,All sectors,M,Market value,2017-Q1,152.3
Quarterly,BR,Brazil,General government,All sectors,N,Nominal value,2017-Q1,79.5
Quarterly,BR,Brazil,Households & NPISHs,All sectors,M,Market value,2017-Q1,27.5
Quarterly,BR,Brazil,Non-financial corporations,All sectors,M,Market value,2017-Q1,45.3
Quarterly,BR,Brazil,Private non-financial sector,All sectors,M,Market value,2017-Q1,72.8
Quarterly,CA,Canada,Non financial sector,All sectors,M,Market value,2017-Q1,301.8
Quarterly,CA,Canada,General government,All sectors,M,Market value,2017-Q1,87.3
