Frequency,BORROWERS_CTY,Borrowers' country,Borrowers,TITLE_TS,Series,Quaterlly_per_year,Debt_Sec_Ratio
Quarterly,AU,Australia,Households & NPISHs,Australia - Households and NPISHs,Q:AU:H,2017-Q1,15.3
Quarterly,AU,Australia,Non-financial corporations,Australia - Non-financial corporations,Q:AU:N,2017-Q1,49.0
Quarterly,AU,Australia,Private non-financial sector,Australia - Private non-financial sector,Q:AU:P,2017-Q1,20.8
Quarterly,BE,Belgium,Households & NPISHs,Belgium - Households and NPISHs,Q:BE:H,2017-Q1,7.3
Quarterly,BE,Belgium,Non-financial corporations,Belgium - Non-financial corporations,Q:BE:N,2017-Q1,53.7
Quarterly,BE,Belgium,Private non-financial sector,Belgium - Private non-financial sector,Q:BE:P,2017-Q1,21.7
Quarterly,BR,Brazil,Private non-financial sector,Brazil - Private non-financial sector,Q:BR:P,2017-Q1,22.8
Quarterly,CA,Canada,Households & NPISHs,Canada - Households and NPISHs,Q:CA:H,2017-Q1,13.0
Quarterly,CA,Canada,Non-financial corporations,Canada - Non-financial corporations,Q:CA:N,2017-Q1,55.4
Quarterly,CA,Canada,Private non-financial sector,Canada - Private non-financial sector,Q:CA:P,2017-Q1,24.1
Quarterly,CH,Switzerland,Private non-financial sector,Switzerland - Private non-financial sector,Q:CH:P,2017-Q1,17.7
Quarterly,CN,China,Private non-financial sector,China - Private non-financial sector,Q:CN:P,2017-Q1,19.7
Quarterly,CZ,Czechia,Private non-financial sector,Czechia - Private non-financial sector,Q:CZ:P,2017-Q1,7.2
Quarterly,DE,Germany,Households & NPISHs,Germany - Households and NPISHs,Q:DE:H,2017-Q1,6.3
Quarterly,DE,Germany,Non-financial corporations,Germany - Non-financial corporations,Q:DE:N,2017-Q1,22.9
Quarterly,DE,Germany,Private non-financial sector,Germany - Private non-financial sector,Q:DE:P,2017-Q1,10.8
Quarterly,DK,Denmark,Households & NPISHs,Denmark - Households and NPISHs,Q:DK:H,2017-Q1,15.4
Quarterly,DK,Denmark,Non-financial corporations,Denmark - Non-financial corporations,Q:DK:N,2017-Q1,40.2
Quarterly,DK,Denmark,Private non-financial sector,Denmark - Private non-financial sector,Q:DK:P,2017-Q1,24.3
Quarterly,ES,Spain,Households & NPISHs,Spain - Households and NPISHs,Q:ES:H,2017-Q1,6.7
Quarterly,ES,Spain,Non-financial corporations,Spain - Non-financial corporations,Q:ES:N,2017-Q1,36.4
Quarterly,ES,Spain,Private non-financial sector,Spain - Private non-financial sector,Q:ES:P,2017-Q1,14.7
Quarterly,FI,Finland,Households & NPISHs,Finland - Households and NPISHs,Q:FI:H,2017-Q1,6.9
Quarterly,FI,Finland,Non-financial corporations,Finland - Non-financial corporations,Q:FI:N,2017-Q1,38.1
Quarterly,FI,Finland,Private non-financial sector,Finland - Private non-financial sector,Q:FI:P,2017-Q1,16.6
Quarterly,FR,France,Households & NPISHs,France - Households and NPISHs,Q:FR:H,2017-Q1,6.3
Quarterly,FR,France,Non-financial corporations,France - Non-financial corporations,Q:FR:N,2017-Q1,54.7
Quarterly,FR,France,Private non-financial sector,France - Private non-financial sector,Q:FR:P,2017-Q1,19.0
Quarterly,GB,United Kingdom,Households & NPISHs,United Kingdom - Households and NPISHs,Q:GB:H,2017-Q1,9.3
Quarterly,GB,United Kingdom,Non-financial corporations,United Kingdom - Non-financial corporations,Q:GB:N,2017-Q1,33.8
Quarterly,GB,United Kingdom,Private non-financial sector,United Kingdom - Private non-financial sector,Q:GB:P,2017-Q1,14.6
Quarterly,HK,Hong Kong SAR,Private non-financial sector,Hong Kong SAR - Private non-financial sector,Q:HK:P,2017-Q1,27.3
Quarterly,HU,Hungary,Private non-financial sector,Hungary - Private non-financial sector,Q:HU:P,2017-Q1,7.9
Quarterly,ID,Indonesia,Private non-financial sector,Indonesia - Private non-financial sector,Q:ID:P,2017-Q1,4.6
Quarterly,IN,India,Private non-financial sector,India - Private non-financial sector,Q:IN:P,2017-Q1,11.2
Quarterly,IT,Italy,Households & NPISHs,Italy - Households and NPISHs,Q:IT:H,2017-Q1,4.4
Quarterly,IT,Italy,Non-financial corporations,Italy - Non-financial corporations,Q:IT:N,2017-Q1,33.0
Quarterly,IT,Italy,Private non-financial sector,Italy - Private non-financial sector,Q:IT:P,2017-Q1,10.8
Quarterly,JP,Japan,Households & NPISHs,Japan - Households and NPISHs,Q:JP:H,2017-Q1,7.1
