Frequency,CURR_DENOM,Currency of denomination,BORROWERS_CTY,Borrowers' country,Borrowers' sector,Lending sector,Type of instruments,UNIT_MEASURE,Unit of measure,Series,Quarterly_per_year,Global_Rate
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2017-Q1,10679149.068
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2017-Q1,4230056.719
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2017-Q1,190566.484
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2017-Q1,503162.333
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2017-Q1,103195.537
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2017-Q1,233644.996
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2017-Q1,31940.873
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2017-Q2,10791794.859
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2017-Q2,4280822.618
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2017-Q2,182597.962
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2017-Q2,511778.986
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2017-Q2,98378.602
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2017-Q2,233896.218
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2017-Q2,33369.91
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2017-Q3,11014463.417
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2017-Q3,4387198.339
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2017-Q3,181696.888
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2017-Q3,508751.544
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2017-Q3,103151.719
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2017-Q3,226637.418
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2017-Q3,37022.491
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2017-Q4,11114649.647
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2017-Q4,4471313.536
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2017-Q4,182885.673
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2017-Q4,505823.074
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2017-Q4,105441.541
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2017-Q4,214940.852
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2017-Q4,36745.376
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2018-Q1,11347255.815
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2018-Q1,4581367.936
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2018-Q1,185177.578
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2018-Q1,523101.843
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2018-Q1,105108.954
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2018-Q1,200966.922
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2018-Q1,36971.583
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2018-Q2,11436176.997
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2018-Q2,4608121.247
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2018-Q2,182712.18
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2018-Q2,510430.499
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2018-Q2,102469.571
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2018-Q2,188139.944
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2018-Q2,39808.645
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2018-Q3,11448084.482
