Measure,CBS_BANK_TYPE,Remaining maturity,Currency type of booking location,Counterparty sector,Counterparty country,Series,Quaterlly_per_year,Amount_stocks_units
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:B:A:A:TO1:A:3P,2017-Q1,11945783.993
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:B:A:A:TO1:A:AT,2017-Q1,81870.074
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:B:A:A:TO1:A:AU,2017-Q1,232218.618
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4R:U:B:A:A:TO1:A:BE,2017-Q1,277947.26
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4R:U:B:A:A:TO1:A:BR,2017-Q1,215636.053
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4R:U:B:A:A:TO1:A:CA,2017-Q1,153906.195
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4R:U:B:A:A:TO1:A:CH,2017-Q1,123080.482
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4R:U:B:A:A:TO1:A:CN,2017-Q1,283620.207
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4R:U:B:A:A:TO1:A:DE,2017-Q1,629447.992
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4R:U:B:A:A:TO1:A:ES,2017-Q1,90361.017
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4R:U:B:A:A:TO1:A:GB,2017-Q1,1412465.592
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4R:U:B:A:A:TO1:A:GR,2017-Q1,2670.487
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4R:U:B:A:A:TO1:A:IN,2017-Q1,107306.532
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4R:U:B:A:A:TO1:A:IT,2017-Q1,292917.546
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4R:U:B:A:A:TO1:A:MX,2017-Q1,241264.081
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4R:U:B:A:A:TO1:A:NL,2017-Q1,110929.029
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4R:U:B:A:A:TO1:A:SG,2017-Q1,246579.665
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4R:U:B:A:A:TO1:A:US,2017-Q1,3202670.922
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:C:A:A:TO1:A:3P,2017-Q1,24390002.359
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:C:A:A:TO1:A:AT,2017-Q1,190067.375
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:C:A:A:TO1:A:AU,2017-Q1,443257.125
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4R:U:C:A:A:TO1:A:BE,2017-Q1,478265.95
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4R:U:C:A:A:TO1:A:BR,2017-Q1,369096.799
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4R:U:C:A:A:TO1:A:CA,2017-Q1,418497.662
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4R:U:C:A:A:TO1:A:CH,2017-Q1,372356.866
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4R:U:C:A:A:TO1:A:CN,2017-Q1,708761.33
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4R:U:C:A:A:TO1:A:DE,2017-Q1,1386316.81
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4R:U:C:A:A:TO1:A:ES,2017-Q1,371029.706
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4R:U:C:A:A:TO1:A:GB,2017-Q1,2246976.603
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4R:U:C:A:A:TO1:A:GR,2017-Q1,31013.63
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4R:U:C:A:A:TO1:A:IN,2017-Q1,254293.95
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4R:U:C:A:A:TO1:A:IT,2017-Q1,581340.366
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4R:U:C:A:A:TO1:A:MX,2017-Q1,320327.33
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4R:U:C:A:A:TO1:A:NL,2017-Q1,507120.052
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4R:U:C:A:A:TO1:A:SG,2017-Q1,395665.14
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4R:U:C:A:A:TO1:A:US,2017-Q1,5710281.842
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:C:V:A:TO1:A:3P,2017-Q1,2428372.391
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:C:V:A:TO1:A:AT,2017-Q1,9818.836
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:C:V:A:TO1:A:AU,2017-Q1,36171.306
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4R:U:C:V:A:TO1:A:BE,2017-Q1,37309.276
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4R:U:C:V:A:TO1:A:BR,2017-Q1,13871.787
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4R:U:C:V:A:TO1:A:CA,2017-Q1,52405.912
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4R:U:C:V:A:TO1:A:CH,2017-Q1,34725.943
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4R:U:C:V:A:TO1:A:CN,2017-Q1,16277.666
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4R:U:C:V:A:TO1:A:DE,2017-Q1,219838.65
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4R:U:C:V:A:TO1:A:ES,2017-Q1,32268.932
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4R:U:C:V:A:TO1:A:GB,2017-Q1,688473.175
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4R:U:C:V:A:TO1:A:GR,2017-Q1,3856.261
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4R:U:C:V:A:TO1:A:IN,2017-Q1,9422.236
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4R:U:C:V:A:TO1:A:IT,2017-Q1,61039.303
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4R:U:C:V:A:TO1:A:MX,2017-Q1,15496.586
