Measure,CBS_BANK_TYPE,Remaining maturity,Currency type of booking location,Counterparty sector,Counterparty country,Series,Quaterlly_per_year,Amount_stocks_units
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4O:F:I:A:A:TO1:A:3P,2017-Q1,16075615.768
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4O:F:I:A:A:TO1:A:AT,2017-Q1,147285.734
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4O:F:I:A:A:TO1:A:AU,2017-Q1,271914.354
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4O:F:I:A:A:TO1:A:BE,2017-Q1,222244.899
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4O:F:I:A:A:TO1:A:BR,2017-Q1,135569.015
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4O:F:I:A:A:TO1:A:CA,2017-Q1,278815.676
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4O:F:I:A:A:TO1:A:CH,2017-Q1,278890.039
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4O:F:I:A:A:TO1:A:CN,2017-Q1,858135.904
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4O:F:I:A:A:TO1:A:DE,2017-Q1,731997.968
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4O:F:I:A:A:TO1:A:ES,2017-Q1,288081.067
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4O:F:I:A:A:TO1:A:GB,2017-Q1,1373639.661
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4O:F:I:A:A:TO1:A:GR,2017-Q1,49445.864
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4O:F:I:A:A:TO1:A:IN,2017-Q1,151422.56
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4O:F:I:A:A:TO1:A:IT,2017-Q1,289596.73
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4O:F:I:A:A:TO1:A:MX,2017-Q1,124968.642
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4O:F:I:A:A:TO1:A:NL,2017-Q1,506217.83
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4O:F:I:A:A:TO1:A:SG,2017-Q1,298203.606
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4O:F:I:A:A:TO1:A:US,2017-Q1,2540620.923
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",All countries excluding residents,Q:S:5A:4O:F:I:A:A:TO1:B:3P,2017-Q1,4064339.339
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Austria,Q:S:5A:4O:F:I:A:A:TO1:B:AT,2017-Q1,44234.599
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Australia,Q:S:5A:4O:F:I:A:A:TO1:B:AU,2017-Q1,110898.785
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Belgium,Q:S:5A:4O:F:I:A:A:TO1:B:BE,2017-Q1,48371.757
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Brazil,Q:S:5A:4O:F:I:A:A:TO1:B:BR,2017-Q1,22880.701
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Canada,Q:S:5A:4O:F:I:A:A:TO1:B:CA,2017-Q1,102428.785
