Frequency,REF_AREA,Reference area,COMPILATION,SOURCE_REF,Series,Monthly_per_year,Policy_Rate
Monthly,AR,Argentina,"From 08 Aug 2018: 7 Day Liquidity Bills (LELIQ); from 2 Jan 2017 to 07 Aug 2018: Middle of the corridor of repo rate; From 16 Dec 2015 to 1 Jan 2017: Central Bank issues at issue, 35 days; From 29 Jan 2014 to 15 Dec 2015: Central Bank issues, 3 months; From 11 Sep 2009 to 28 Jan 2014: Central Bank 7 day reverse repo operations; From 26 Feb 2007 to 10 Sep 2009:  Central Bank issues, closest to 1 year; From 14 Jun 2004 to 25 Feb 2007: Central Bank 7 day reverse repo operations; From 1 Apr 1993 to 13 Jun 2004: Money market 1-week interbank loan.",Central Bank of Argentina,M:AR,2017-01,24.75
Monthly,AU,Australia,From 2 Aug 1990 onwards: cash rate target; from 23 Jan 1990 to 1 Aug 1990: middle of the cash rate target range; from 7 Apr 1976 to 22 Jan 1990: interbank overnight cash rate.,Reserve Bank of Australia,M:AU,2017-01,1.5
Monthly,BR,Brazil,"From 5 Mar 1999 onwards Central Bank target, money market (SELIC) overnight rate; from 1 Jul 1996 to 4 Mar 1999: Central Bank official rediscount rate; from 4 Jun 1986 to 30 Jun 1996: official market intervention rate, representative rate.",Central Bank of Brazil,M:BR,2017-01,13.0
Monthly,CA,Canada,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",Bank of Canada,M:CA,2017-01,0.5
Monthly,CH,Switzerland,From 13 June 2019 onwards SNB Policy rate; From 1 Jan 2000 to 12 June 2019 mid-point of the SNB target range; from 1 Jan 1946 to 31 Dec 1999: discount rate.,Swiss National Bank,M:CH,2017-01,-0.75
Monthly,CL,Chile,From 1997 onwards: official monetary policy rate.,Central Bank of Chile,M:CL,2017-01,3.25
Monthly,CN,China,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,People's Bank of China,M:CN,2017-01,4.35
Monthly,CO,Colombia,1 day repo rate.,Central Bank of Colombia,M:CO,2017-01,7.5
Monthly,CZ,Czechia,Offficial 2 week repo rate.,Czech National Bank,M:CZ,2017-01,0.05
Monthly,DK,Denmark,From 1 April 1992 onwards: interest rate of the certificates of deposits; from  2 Jan 1979 to 31 Mar 1992: official discount rate; from 1 Jan 1946 to 1 Jan 1979: discount rate.,Danmarks Nationalbank,M:DK,2017-01,-0.65
Monthly,GB,United Kingdom,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,Bank of England,M:GB,2017-01,0.25
Monthly,HK,Hong Kong SAR,Official base rate.,Hong Kong Monetary Authority,M:HK,2017-01,1.0
Monthly,HR,Croatia,From 1 January 2023: the series is discontinued as Croatia joined the Euro Area; From 2 Sep 2002 to 31 December 2022: interest rate on money market interbank deposits; from 4 Jan 1993 to 1 Sep 2002: interest rate on money market interbank loans. ,Croatian National Bank,M:HR,2017-01,0.0
Monthly,HU,Hungary,Official base rate.,Hungarian National Bank,M:HU,2017-01,0.9
Monthly,ID,Indonesia,From 19 Aug 2016 onwards: 7 day reverse repo rate; from 5 Jul 2005 to 18 Aug 2016: official base rate (BI rate).,Bank Indonesia,M:ID,2017-01,4.75
Monthly,IL,Israel,Offical central bank rate.,Bank of Israel,M:IL,2017-01,0.1
Monthly,IN,India,From 3 Apr 2001 onwards: official repo overnight rate; from 1 Jan 1946 to 2 Apr 2001: oank rate.,Reserve Bank of India,M:IN,2017-01,6.25
Monthly,IS,Iceland,From 21 May 2014 onwards: Central Bank term deposit rate; from Sep 2009 to 20 May 2014: average of the current account rate and the maximum rate on 28-day certificates of deposits; from 1 Apr 2009 to Sept 2009: current account rate; from 2 Mar 1998 to 31 Mar 2009: 7 day collateralised lending rate.,Central Bank of Iceland,M:IS,2017-01,5.0
Monthly,JP,Japan,From 21Sep2016 BOJ guideline for market operat. specifies a short-term policy int. rate at minus 0.1% and a target level of 10-year JGB yields at around 0%. Figures show the short-term poli.int.rate;4Apr2013-20Sep2016:no pol.rate avail.;5Oct2010-3Apr2013: uncollateralized overnight call rate (uncoll.ON CR.)to remain at around 0-0.1%; 19Dec2008-4Oct2010:uncoll.ON CR.)to remain at around 0.1%; 31Oct2008-18Dec2008:uncoll.ON CR.to remain at around 0.3%; 21Feb2007-30Oct2008:uncoll. ON CR.to remain at around 0.5%; 14Jul2006-20Feb2007:uncoll.ON CR.to remain at around 0.25%; 9 Mar2006-13Jul2006:uncoll.ON CR.to remain at effectively zero %; 19Mar2001-8 Mar2006: no policy rate avail.;28Feb2001-18 Mar2001: uncoll.ON CR.to move on ave. around 0.15%; 11Aug2000-27Feb2001:uncoll ON CR. to move on ave.around 0.25%; 12Feb1999-10Aug2000: no quantit. target applied; uncoll.ON CR. to move as low as possible; 9Sep1998-11Feb1999: uncoll.ON CR. to move on ave. around 0.25%;1Jan1970-8Sep1998: offic discount rate; 1Jan1946-31 Dec1969: official discount rate. ,Bank of Japan,M:JP,2017-01,-0.1
Monthly,KR,Korea,From 7 Mar 2008 onwards: Bank of Korea base rate; from 6 May 1999 to 6 Mar 2008: target overnight call rate(base rate). ,Bank of Korea,M:KR,2017-01,1.25
Monthly,MK,North Macedonia,Official policy rate.,National Bank of the Republic of Macedonia,M:MK,2017-01,3.5
Monthly,MX,Mexico,"From 21 Jan 2008 onwards: Central Bank target, money-market overnight rate; from 3 Nov 1998 to 20 Jan 2008: bank funding rate.",Bank of Mexico,M:MX,2017-01,5.75
Monthly,MY,Malaysia,From 26 Apr 2004 onwards: overnight policy rate; from 1 Jan 1998 to 25 Apr 2004: 3 month intervention rate; from 3 Nov 1995 to 31 Dec 1997: 3 month interbank rate.,Bank Negara Malaysia ,M:MY,2017-01,3.0
Monthly,NO,Norway,From 11 Jun 1993 onwards: official deposit facility rate; from 3 Mar 1986 to 10 Jun 1993 official credit facility rate.,Norges Bank,M:NO,2017-01,0.5
Monthly,NZ,New Zealand,"From 17 Mar 1999 onwards: Official market intervention representative rate, official cash rate; from Jan 1985 to 16 Mar 1999: overnight cash rate.",Reserve Bank of New Zealand,M:NZ,2017-01,1.75
Monthly,PE,Peru,Official monetary policy rate.,Central Reserve Bank of Peru,M:PE,2017-01,4.25
Monthly,PH,Philippines,"From Jan 1986 onwards: Official market intervention representative rate, liquidity providing.",Bangko Sentral ng Pilipinas ,M:PH,2017-01,3.0
Monthly,PL,Poland,From 26 Feb 1998 onwards: official 7 day central bank bill yield; from 1 Jan 1993 to 25 Feb 1998: Lombard rate.,National Bank of Poland,M:PL,2017-01,1.5
Monthly,RO,Romania,Official policy rate.,National Bank of Romania ,M:RO,2017-01,1.75
Monthly,RS,Serbia,From 1 Sept 2006 onwards: Central Bank policy rate; from 1 Jan 1997 to 31 Aug 2006: Central Bank discount rate.,National Bank of Serbia,M:RS,2017-01,4.0
Monthly,RU,Russia,From 13 Sept 2013 onwards: official key rate; from 1 Jan 1992 to 12 Sep 2013: official refinancing rate.,Bank of Russia,M:RU,2017-01,10.0
Monthly,SA,Saudi Arabia,From 1 Jan 2000 onwards: official market repo rate.,Saudi Arabian Monetary Authority,M:SA,2017-01,2.0
Monthly,SE,Sweden,From 1 Jun 1994 onwards: Central Bank fixed repo/reversed repo rate; from 30 Jan 1987 to 31 May 1994: marginal rate; from 1 Jan 1946 to 29 Jan 1987: discount rate. ,Sveriges Riksbank,M:SE,2017-01,-0.5
Monthly,TH,Thailand,"Offical market intervention representative rate, liquidity providing repo rate.",Bank of Thailand,M:TH,2017-01,1.5
Monthly,TR,Turkey,From 20 May 2010 onwards: 1 week official repo rate; from 20 Feb 2002 to 19 May 2010: Central Bank overnight borrowing rate.,Central Bank of the Republic of Turkey,M:TR,2017-01,8.0
Monthly,US,United States,From 19 Dec 1985 onwards: mid-point of the Federal Reserve target rate; from 1 Jul 1954 to 18 Dec 1985: US Fed Funds effective rate.,US Federal Reserve System,M:US,2017-01,0.625
Monthly,XM,Euro area,"From 15 Oct 2008 onwards: official central bank liquidity providing, main refinancing operations, fixed rate; from 28 Jun 2000 to 14 Oct 2008: official central bank liquidity providing, main refinancing operations, minimum bid rate; from 5 Jan 1999 to 27 Jun 2000: official central bank liquidity providing, main refinancing operations, fixed rate.",European Central Bank,M:XM,2017-01,0.0
Monthly,ZA,South Africa,Official repo rate.,South African Reserve Bank,M:ZA,2017-01,7.0
