FREQ,Frequency,REF_AREA,Reference area,Series,Anually-year,Consumer_Price
A,Annual,AE,United Arab Emirates,A:AE:771,2017,1.967357
A,Annual,AR,Argentina,A:AR:771,2017,24.7939455
A,Annual,AT,Austria,A:AT:771,2017,2.064159
A,Annual,AU,Australia,A:AU:771,2017,1.948647
A,Annual,BE,Belgium,A:BE:771,2017,2.125971
A,Annual,BG,Bulgaria,A:BG:771,2017,2.061893
A,Annual,BR,Brazil,A:BR:771,2017,3.446307041
A,Annual,CA,Canada,A:CA:771,2017,1.596884
A,Annual,CH,Switzerland,A:CH:771,2017,0.533796
A,Annual,CL,Chile,A:CL:771,2017,2.182562
A,Annual,CN,China,A:CN:771,2017,1.517464
A,Annual,CY,Cyprus,A:CY:771,2017,0.539375
A,Annual,CZ,Czechia,A:CZ:771,2017,2.450522
A,Annual,DE,Germany,A:DE:771,2017,1.509497
A,Annual,DK,Denmark,A:DK:771,2017,1.147132
A,Annual,DZ,Algeria,A:DZ:771,2017,5.591116
A,Annual,EE,Estonia,A:EE:771,2017,3.414588
A,Annual,ES,Spain,A:ES:771,2017,1.956076
A,Annual,FI,Finland,A:FI:771,2017,0.754015
A,Annual,FR,France,A:FR:771,2017,1.032283
A,Annual,GB,United Kingdom,A:GB:771,2017,2.690843
A,Annual,GR,Greece,A:GR:771,2017,1.122398
A,Annual,HK,Hong Kong SAR,A:HK:771,2017,1.493872
A,Annual,HR,Croatia,A:HR:771,2017,1.129372
A,Annual,HU,Hungary,A:HU:771,2017,2.344881
A,Annual,ID,Indonesia,A:ID:771,2017,3.808798
A,Annual,IE,Ireland,A:IE:771,2017,0.340532
A,Annual,IL,Israel,A:IL:771,2017,0.242216
A,Annual,IN,India,A:IN:771,2017,3.328173
A,Annual,IS,Iceland,A:IS:771,2017,1.761271
A,Annual,IT,Italy,A:IT:771,2017,1.218088
A,Annual,JP,Japan,A:JP:771,2017,0.5
A,Annual,KR,Korea,A:KR:771,2017,1.944332
A,Annual,LT,Lithuania,A:LT:771,2017,3.722889
A,Annual,LU,Luxembourg,A:LU:771,2017,1.7308
A,Annual,LV,Latvia,A:LV:771,2017,2.925366
A,Annual,MK,North Macedonia,A:MK:771,2017,1.339931
A,Annual,MT,Malta,A:MT:771,2017,1.364578
A,Annual,MX,Mexico,A:MX:771,2017,6.041469
A,Annual,MY,Malaysia,A:MY:771,2017,3.799392
A,Annual,NL,Netherlands,A:NL:771,2017,1.381453
A,Annual,NO,Norway,A:NO:771,2017,1.875101
A,Annual,NZ,New Zealand,A:NZ:771,2017,1.850783
A,Annual,PE,Peru,A:PE:771,2017,2.803831823
A,Annual,PH,Philippines,A:PH:771,2017,2.841422
A,Annual,PL,Poland,A:PL:771,2017,2.002478
A,Annual,PT,Portugal,A:PT:771,2017,1.368614
A,Annual,RO,Romania,A:RO:771,2017,1.351394
A,Annual,RS,Serbia,A:RS:771,2017,3.165236536
A,Annual,RU,Russia,A:RU:771,2017,3.685038
A,Annual,SA,Saudi Arabia,A:SA:771,2017,-0.838195
A,Annual,SE,Sweden,A:SE:771,2017,1.794499
A,Annual,SG,Singapore,A:SG:771,2017,0.57626
A,Annual,SI,Slovenia,A:SI:771,2017,1.425713
A,Annual,SK,Slovak Republic,A:SK:771,2017,1.323885
A,Annual,TH,Thailand,A:TH:771,2017,0.665124
A,Annual,TR,Turkey,A:TR:771,2017,11.14431108
A,Annual,US,United States,A:US:771,2017,2.13011
A,Annual,XM,Euro area,A:XM:771,2017,1.538065
A,Annual,ZA,South Africa,A:ZA:771,2017,5.278745
A,Annual,AE,United Arab Emirates,A:AE:771,2018,3.070301
A,Annual,AR,Argentina,A:AR:771,2018,34.15029965
A,Annual,AT,Austria,A:AT:771,2018,2.004903
A,Annual,AU,Australia,A:AU:771,2018,1.911401
A,Annual,BE,Belgium,A:BE:771,2018,2.053165
A,Annual,BG,Bulgaria,A:BG:771,2018,2.814486
A,Annual,BR,Brazil,A:BR:771,2018,3.664676474
A,Annual,CA,Canada,A:CA:771,2018,2.268226
A,Annual,CH,Switzerland,A:CH:771,2018,0.936327
A,Annual,CL,Chile,A:CL:771,2018,2.433498
A,Annual,CN,China,A:CN:771,2018,1.926926
A,Annual,CY,Cyprus,A:CY:771,2018,1.427815
A,Annual,CZ,Czechia,A:CZ:771,2018,2.149516
A,Annual,DE,Germany,A:DE:771,2018,1.732168
A,Annual,DK,Denmark,A:DK:771,2018,0.813609
A,Annual,DZ,Algeria,A:DZ:771,2018,4.26999
A,Annual,EE,Estonia,A:EE:771,2018,3.433027
A,Annual,ES,Spain,A:ES:771,2018,1.674981
